[30-45),Government,,77516,4,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,0
[45-60),Self-emp,,83311,4,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,0
[30-45),Private,,215646,8,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
[45-60),Private,,234721,10,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,0
[15-30),Private,,338409,4,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,0
[30-45),Private,,284582,3,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,0
[45-60),Private,,160187,12,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,0
[45-60),Self-emp,,209642,8,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
[30-45),Private,,45781,3,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,1
[30-45),Private,,159449,4,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,1
[30-45),Private,,280464,7,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States,1
[30-45),Government,,141297,4,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,1
[15-30),Private,,122272,4,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,0
[30-45),Private,,205019,6,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,0
[30-45),Private,,245487,13,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,0
[15-30),Self-emp,,176756,8,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,0
[30-45),Private,,186824,8,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,0
[30-45),Private,,28887,10,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
[30-45),Self-emp,,292175,3,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,1
[30-45),Private,,193524,1,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
[45-60),Private,,302146,8,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,0
[30-45),Government,,76845,12,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,0
[30-45),Private,,117037,10,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,0
[45-60),Private,,109015,8,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,0
[45-60),Government,,216851,4,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
[15-30),Private,,168294,8,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
[30-45),Private,,367260,8,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,0
[45-60),Private,,193366,8,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
[15-30),Government,,190709,6,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,0
[15-30),Private,,266015,7,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,0
[45-60),Private,,386940,4,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,0
[30-45),Government,,59951,7,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
[15-30),Government,,311512,7,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,0
[45-60),Private,,242406,10,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,0
[15-30),Private,,197200,7,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
[15-30),Private,,544091,8,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,0
[45-60),Self-emp,,265477,6,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
[30-45),Private,,507875,12,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,0
[45-60),Self-emp,,88506,4,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
[15-30),Private,,172987,4,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,0
[45-60),Private,,94638,8,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
